text,risk_score
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
Today was wonderful. I spent time with friends and felt really happy.,0
I have been feeling stressed lately. I can't focus on anything and my thoughts keep racing.,40
I am worried about my future and I feel nervous all the time.,50
I don't enjoy things I used to like and I feel empty most days.,55
I feel trapped and hopeless. I don't see a reason to continue anymore.,76
I want to disappear. No reason to live. I am done with everything.,100
"I am excited about my new job, but I am also scared and stressed about whether I can handle it.",49
sad,53
😭😭😭 I feel terrible today 😔,53
The weather is sunny and birds are flying.,0
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
Today was amazing. I spent time with friends and felt really happy.,0
Today was amazing. I spent time with friends and felt really happy.,0
I feel tired all the time and I have lost interest in things I used to love.,54
Nobody understands me and I feel isolated from everyone.,54
I cannot do this anymore. I want to give up on everything.,49
I feel trapped and hopeless. I don't see a reason to continue anymore.,76
I feel stressed lately because of my assignments and I cannot focus properly.,42
I feel stressed lately because of my assignments and I cannot focus properly.,42
I feel stressed lately because of my assignments and I cannot focus properly.,42
I want to disappear. No reason to live. I am done with everything.,100
I want to disappear. No reason to live. I am done with everything.,100
I had a wonderful day today. I spent time with friends and felt really happy.,0
"I want to disappear
No reason to live
I am done with everything",100
"i want to masturbate , thrice a day because i feel very much stressed",43
"i want to masturbate , ten times  day because i feel very much stressed",43
"i want to masturbate , 49  day because i feel very much stressed",45
i want to kill someone because i feel very angry,40
"I want to disappear.
No reason to live.
I am done with everything.",100
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
"I want to disappear
No reason to live
I am done with everything",100
"I feel extremely nervous about my future.
I keep worrying and I think I might panic.
I am scared something bad will happen.",50
"I feel extremely nervous about my future.
I keep worrying and I think I might panic.
I am scared something bad will happen.",50
"I am stressed and nervous about my future.
I feel lonely and exhausted.
Sometimes I feel hopeless.",99
"Today was great.
I enjoyed spending time with my friends.
I feel excited about tomorrow.",0
"I am stressed about exams and my future.
I feel lonely and exhausted lately.
Sometimes I feel hopeless and scared.",99
